Signal Legend:

Key        Signal Name

0        = HSMC_ADC_DB[13..0]
1        = HSMC_ADC_OTR_B
2        = HSMC_ADC_OTR_A

Data Table:

Signals-> 0     1 2 

sample

-13388    6028  0 0 
-13387    6022  0 0 
-13386    6022  0 0 
-13385    6022  0 0 
-13384    6031  0 0 
-13383    6029  0 0 
-13382    6029  0 0 
-13381    6029  0 0 
-13380    6045  0 0 
-13379    6036  0 0 
-13378    6036  0 0 
-13377    6036  0 0 
-13376    6045  0 0 
-13375    6045  0 0 
-13374    6045  0 0 
-13373    6045  0 0 
-13372    6073  0 0 
-13371    6064  0 0 
-13370    6064  0 0 
-13369    6064  0 0 
-13368    6085  0 0 
-13367    6087  0 0 
-13366    6087  0 0 
-13365    6087  0 0 
-13364    6115  0 0 
-13363    6113  0 0 
-13362    6113  0 0 
-13361    6113  0 0 
-13360    6141  0 0 
-13359    6142  0 0 
-13358    6142  0 0 
-13357    6142  0 0 
-13356    8127  0 0 
-13355    6177  0 0 
-13354    6177  0 0 
-13353    6177  0 0 
-13352    6217  0 0 
-13351    6219  0 0 
-13350    6219  0 0 
-13349    6219  0 0 
-13348    6271  0 0 
-13347    6263  0 0 
-13346    6263  0 0 
-13345    6263  0 0 
-13344    6335  0 0 
-13343    6312  0 0 
-13342    6312  0 0 
-13341    6312  0 0 
-13340    6364  0 0 
-13339    6364  0 0 
-13338    6364  0 0 
-13337    6364  0 0 
-13336    6557  0 0 
-13335    6417  0 0 
-13334    6417  0 0 
-13333    6417  0 0 
-13332    6477  0 0 
-13331    6477  0 0 
-13330    6477  0 0 
-13329    6477  0 0 
-13328    6541  0 0 
-13327    6543  0 0 
-13326    6543  0 0 
-13325    6543  0 0 
-13324    6623  0 0 
-13323    6614  0 0 
-13322    6614  0 0 
-13321    6614  0 0 
-13320    7071  0 0 
-13319    6681  0 0 
-13318    6681  0 0 
-13317    6681  0 0 
-13316    6777  0 0 
-13315    6755  0 0 
-13314    6755  0 0 
-13313    6755  0 0 
-13312    6839  0 0 
-13311    6837  0 0 
-13310    6837  0 0 
-13309    6837  0 0 
-13308    7045  0 0 
-13307    6917  0 0 
-13306    6917  0 0 
-13305    6917  0 0 
-13304    7005  0 0 
-13303    7004  0 0 
-13302    7004  0 0 
-13301    7004  0 0 
-13300    7089  0 0 
-13299    7091  0 0 
-13298    7091  0 0 
-13297    7091  0 0 
-13296    8095  0 0 
-13295    7180  0 0 
-13294    7180  0 0 
-13293    7180  0 0 
-13292    7276  0 0 
-13291    7278  0 0 
-13290    7278  0 0 
-13289    7278  0 0 
-13288    7410  0 0 
-13287    7378  0 0 
-13286    7378  0 0 
-13285    7378  0 0 
-13284    7606  0 0 
-13283    7476  0 0 
-13282    7476  0 0 
-13281    7476  0 0 
-13280    7580  0 0 
-13279    7580  0 0 
-13278    7580  0 0 
-13277    7580  0 0 
-13276    8093  0 0 
-13275    7685  0 0 
-13274    7685  0 0 
-13273    7685  0 0 
-13272    7797  0 0 
-13271    7798  0 0 
-13270    7798  0 0 
-13269    7798  0 0 
-13268    7911  0 0 
-13267    7909  0 0 
-13266    7909  0 0 
-13265    7909  0 0 
-13264    8189  0 0 
-13263    8027  0 0 
-13262    8027  0 0 
-13261    8027  0 0 
-13260    8159  0 0 
-13259    8141  0 0 
-13258    8141  0 0 
-13257    8141  0 0 
-13256    16335 0 0 
-13255    8259  0 0 
-13254    8259  0 0 
-13253    8259  0 0 
-13252    8387  0 0 
-13251    8387  0 0 
-13250    8387  0 0 
-13249    8387  0 0 
-13248    8635  0 0 
-13247    8507  0 0 
-13246    8507  0 0 
-13245    8507  0 0 
-13244    8667  0 0 
-13243    8641  0 0 
-13242    8641  0 0 
-13241    8641  0 0 
-13240    9149  0 0 
-13239    8766  0 0 
-13238    8766  0 0 
-13237    8766  0 0 
-13236    8927  0 0 
-13235    8899  0 0 
-13234    8899  0 0 
-13233    8899  0 0 
-13232    9163  0 0 
-13231    9033  0 0 
-13230    9033  0 0 
-13229    9033  0 0 
-13228    9169  0 0 
-13227    9169  0 0 
-13226    9169  0 0 
-13225    9169  0 0 
-13224    10205 0 0 
-13223    9308  0 0 
-13222    9308  0 0 
-13221    9308  0 0 
-13220    9468  0 0 
-13219    9446  0 0 
-13218    9446  0 0 
-13217    9446  0 0 
-13216    9718  0 0 
-13215    9588  0 0 
-13214    9588  0 0 
-13213    9588  0 0 
-13212    10004 0 0 
-13211    9732  0 0 
-13210    9732  0 0 
-13209    9732  0 0 
-13208    9873  0 0 
-13207    9875  0 0 
-13206    9875  0 0 
-13205    9875  0 0 
-13204    10171 0 0 
-13203    10025 0 0 
